,Field,Type,Null,Key,Default,Extra
0,APIModificationTimestamp,datetime,YES,,,
1,AccessibilityFeatures,text,YES,,,
2,Appliances,text,YES,,,
3,ArchitecturalStyle,text,YES,,,
4,AssociationAmenities,text,YES,,,
5,AssociationFee,"decimal(14,2)",YES,,,
6,AssociationFeeFrequency,varchar(45),YES,,,
7,AssociationFeeIncludes,text,YES,,,
8,AssociationYN,tinyint(1),YES,,,
9,AttachedGarageYN,tinyint(1),YES,,,
10,Basement,text,YES,,,
11,BathroomsFull,bigint(20),YES,MUL,,
12,BathroomsHalf,bigint(20),YES,MUL,,
13,BathroomsTotalInteger,bigint(20),YES,,,
14,BedroomsTotal,bigint(20),YES,MUL,,
15,BelowGradeFinishedArea,"decimal(14,2)",YES,,,
16,BuilderModel,varchar(70),YES,,,
17,BuilderName,varchar(70),YES,,,
18,BuildingAreaTotal,"decimal(14,2)",YES,,,
19,BuildingFeatures,text,YES,,,
20,BuildingName,varchar(70),YES,,,
21,BusinessType,text,YES,,,
22,BuyerAgencyCompensation,varchar(45),YES,,,
23,BuyerAgencyCompensationType,varchar(45),YES,,,
24,BuyerAgentCellPhone,varchar(36),YES,,,
25,BuyerAgentFirstName,varchar(70),YES,,,
26,BuyerAgentKey,varchar(275),YES,MUL,,
27,BuyerAgentKeyNumeric,bigint(20),YES,,,
28,BuyerAgentLastName,varchar(70),YES,,,
29,BuyerAgentMlsId,varchar(45),YES,,,
30,BuyerAgentPreferredPhone,varchar(36),YES,,,
31,BuyerAgentPreferredPhoneExt,varchar(30),YES,,,
32,BuyerOfficeKey,varchar(275),YES,,,
33,BuyerOfficeKeyNumeric,bigint(20),YES,,,
34,BuyerOfficeMlsId,varchar(45),YES,,,
35,BuyerOfficeName,text,YES,,,
36,BuyerOfficePhone,varchar(36),YES,,,
37,BuyerOfficePhoneExt,varchar(30),YES,,,
38,BuyerTeamName,varchar(70),YES,,,
39,CarportYN,tinyint(1),YES,,,
40,City,varchar(70),YES,MUL,,
41,CloseDate,date,YES,,,
42,ClosePrice,"decimal(14,2)",YES,,,
43,CoBuyerAgentFirstName,varchar(70),YES,,,
44,CoBuyerAgentKey,varchar(275),YES,MUL,,
45,CoBuyerAgentKeyNumeric,bigint(20),YES,,,
46,CoBuyerAgentLastName,varchar(70),YES,,,
47,CoBuyerAgentMlsId,varchar(45),YES,,,
48,CoBuyerAgentOfficePhone,varchar(36),YES,,,
49,CoBuyerAgentOfficePhoneExt,varchar(30),YES,,,
50,CoBuyerOfficeKey,varchar(275),YES,,,
51,CoBuyerOfficeKeyNumeric,bigint(20),YES,,,
52,CoBuyerOfficeMlsId,varchar(45),YES,,,
53,CoBuyerOfficeName,text,YES,,,
54,CoBuyerOfficePhone,varchar(36),YES,,,
55,CoBuyerOfficePhoneExt,varchar(30),YES,,,
56,CoListAgentCellPhone,varchar(36),YES,,,
57,CoListAgentFirstName,varchar(70),YES,,,
58,CoListAgentKey,varchar(275),YES,MUL,,
59,CoListAgentKeyNumeric,bigint(20),YES,,,
60,CoListAgentLastName,varchar(70),YES,,,
61,CoListAgentPreferredPhone,varchar(36),YES,,,
62,CoListAgentPreferredPhoneExt,varchar(30),YES,,,
63,CoListOfficeKey,varchar(275),YES,,,
64,CoListOfficeKeyNumeric,bigint(20),YES,,,
65,CoListOfficeMlsId,varchar(45),YES,,,
66,CoListOfficeName,text,YES,,,
67,CoListOfficePhone,varchar(36),YES,,,
68,CommunityFeatures,text,YES,,,
69,ConstructionMaterials,text,YES,,,
70,ContractStatusChangeDate,date,YES,,,
71,Cooling,text,YES,,,
72,CoolingYN,tinyint(1),YES,,,
73,Country,varchar(22),YES,,,
74,CountyOrParish,varchar(70),YES,,,
75,Disclosures,text,YES,,,
76,DocumentsAvailable,text,YES,,,
77,DoorFeatures,text,YES,,,
78,Electric,text,YES,,,
79,ElementarySchool,varchar(70),YES,,,
80,ExistingLeaseType,varchar(95),YES,,,
81,ExteriorFeatures,text,YES,,,
82,FeedTypes,text,YES,,,
83,Fencing,text,YES,,,
84,FireplaceFeatures,text,YES,,,
85,FireplaceYN,tinyint(1),YES,,,
86,FireplacesTotal,bigint(20),YES,,,
87,Flooring,text,YES,,,
88,FoundationDetails,text,YES,,,
89,GarageSpaces,"decimal(14,2)",YES,,,
90,GarageYN,tinyint(1),YES,,,
91,Gas,text,YES,,,
92,GreenBuildingVerificationType,text,YES,,,
93,Heating,text,YES,,,
94,HeatingYN,tinyint(1),YES,,,
95,HighSchool,varchar(70),YES,,,
96,HorseAmenities,text,YES,,,
97,HorseYN,tinyint(1),YES,,,
98,IDXParticipationYN,tinyint(1),YES,,,
99,InteriorFeatures,text,YES,,,
100,InternetAddressDisplayYN,tinyint(1),YES,,,
101,InternetAutomatedValuationDisplayYN,tinyint(1),YES,,,
102,InternetConsumerCommentYN,tinyint(1),YES,,,
103,InternetEntireListingDisplayYN,tinyint(1),YES,,,
104,Latitude,"decimal(12,2)",YES,MUL,,
105,LaundryFeatures,text,YES,,,
106,LeaseConsideredYN,tinyint(1),YES,,,
107,Levels,text,YES,,,
108,ListAgentCellPhone,varchar(36),YES,,,
109,ListAgentFirstName,varchar(70),YES,,,
110,ListAgentFullName,varchar(170),YES,,,
111,ListAgentKey,varchar(275),YES,MUL,,
112,ListAgentKeyNumeric,bigint(20),YES,,,
113,ListAgentLastName,varchar(70),YES,,,
114,ListAgentMlsId,varchar(45),YES,MUL,,
115,ListAgentPreferredPhone,varchar(36),YES,,,
116,ListAgentPreferredPhoneExt,varchar(30),YES,,,
117,ListOfficeKey,varchar(275),YES,MUL,,
118,ListOfficeKeyNumeric,bigint(20),YES,,,
119,ListOfficeMlsId,varchar(45),YES,,,
120,ListOfficeName,text,YES,,,
121,ListOfficePhone,varchar(36),YES,,,
122,ListOfficePhoneExt,varchar(30),YES,,,
123,ListPrice,"decimal(14,2)",YES,MUL,,
124,ListTeamName,varchar(70),YES,,,
125,ListingId,varchar(275),YES,MUL,,
126,ListingKey,varchar(275),NO,PRI,,
127,ListingKeyNumeric,bigint(20),YES,,,
128,ListingTerms,text,YES,,,
